Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Chrome 83.0.4103.106,,,2020-06-23 11:02:02,2020-06-23 12:53:37,1h - 51m - 34.901s,INCOMPLETE
,,,,,,,
Test Cases/Generic/loginPage_Test,Chrome 83.0.4103.106,TestCase Agenda: Verification of login page for imibot,,2020-06-23 11:02:03,2020-06-23 11:02:23,20.162s,PASSED
Start listener action : setUp,Chrome 83.0.4103.106,,,2020-06-23 11:02:04,2020-06-23 11:02:22,18.064s,PASSED
windowTitle = getWindowTitle(),Chrome 83.0.4103.106,,,2020-06-23 11:02:22,2020-06-23 11:02:23,1.129s,PASSED
assert windowTitle == testValue,Chrome 83.0.4103.106,,,2020-06-23 11:02:23,2020-06-23 11:02:23,0.009s,PASSED
,,,,,,,
Test Cases/Faqbot/botCreation_Test,Chrome 83.0.4103.106,TestCase Agenda: To test faq bot creation,,2020-06-23 11:02:23,2020-06-23 11:03:36,1m - 12.922s,PASSED
Start listener action : setUp,Chrome 83.0.4103.106,,,2020-06-23 11:02:24,2020-06-23 11:02:40,16.002s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.106,,,2020-06-23 11:02:40,2020-06-23 11:03:05,25.056s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 83.0.4103.106,,,2020-06-23 11:03:05,2020-06-23 11:03:09,3.741s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 83.0.4103.106,,,2020-06-23 11:03:09,2020-06-23 11:03:12,2.956s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 83.0.4103.106,,,2020-06-23 11:03:12,2020-06-23 11:03:14,2.299s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 83.0.4103.106,,,2020-06-23 11:03:14,2020-06-23 11:03:17,2.310s,PASSED
"waitForElementVisible(findTestObject(""Generic/articleState""), 45, OPTIONAL)",Chrome 83.0.4103.106,,,2020-06-23 11:03:17,2020-06-23 11:03:34,17.458s,PASSED
"verifyElementText(findTestObject(""Generic/articleState""), ""Trained"", STOP_ON_FAILURE)",Chrome 83.0.4103.106,,,2020-06-23 11:03:34,2020-06-23 11:03:36,2.256s,PASSED
,,,,,,,
Test Cases/Faqbot/updateBotConfig_Test,Chrome 83.0.4103.106,TestCase Agenda: Update bot logo and welcome message,,2020-06-23 11:03:36,2020-06-23 11:05:08,1m - 31.297s,PASSED
Start listener action : setUp,Chrome 83.0.4103.106,,,2020-06-23 11:03:40,2020-06-23 11:03:57,16.182s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.106,,,2020-06-23 11:03:57,2020-06-23 11:04:22,25.147s,PASSED
"platform.Method.navigateToBot(""Q&A bots"", FAQ_BOT)",Chrome 83.0.4103.106,,,2020-06-23 11:04:22,2020-06-23 11:04:29,6.080s,PASSED
"setText(findTestObject(""Input/botLogo""), botLogo)",Chrome 83.0.4103.106,,,2020-06-23 11:04:29,2020-06-23 11:04:37,8.576s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/updateBot""))",Chrome 83.0.4103.106,,,2020-06-23 11:04:37,2020-06-23 11:04:39,2.333s,PASSED
"verifyElementPresent(findTestObject(""ICONS/toastMsg""), 15, STOP_ON_FAILURE)",Chrome 83.0.4103.106,,,2020-06-23 11:04:39,2020-06-23 11:04:44,4.348s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 83.0.4103.106,,,2020-06-23 11:04:44,2020-06-23 11:04:46,2.438s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Welcome Message""]))",Chrome 83.0.4103.106,,,2020-06-23 11:04:46,2020-06-23 11:04:49,2.642s,PASSED
"setText(findTestObject(""Input/textResponse""), welcomeMessage)",Chrome 83.0.4103.106,,,2020-06-23 11:04:49,2020-06-23 11:04:54,5.494s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/save"", [""value"":"" Save ""]))",Chrome 83.0.4103.106,,,2020-06-23 11:04:54,2020-06-23 11:04:57,2.312s,PASSED
platform.Method.trainAndComment(comment),Chrome 83.0.4103.106,,,2020-06-23 11:04:57,2020-06-23 11:05:03,6.338s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 83.0.4103.106,,,2020-06-23 11:05:03,2020-06-23 11:05:05,2.378s,PASSED
"verifyElementText(findTestObject(""Generic/botReponse"", [""index"":1]), welcomeMessage, STOP_ON_FAILURE)",Chrome 83.0.4103.106,,,2020-06-23 11:05:05,2020-06-23 11:05:08,2.275s,PASSED
,,,,,,,
Test Cases/Faqbot/updatePartialMatch_Test,Chrome 83.0.4103.106,TestCase Agenda: To configure custom partial match message,,2020-06-23 11:05:08,2020-06-23 11:06:17,1m - 9.527s,PASSED
