Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
failedTestCases,Chrome 83.0.4103.106,,,2020-06-23 20:01:27,2020-06-23 20:15:57,14m - 30.237s,INCOMPLETE
,,,,,,,
Test Cases/Faqbot/disabledLowConfidenceAndDownvote_Test,Chrome 83.0.4103.106,TestCase Agenda: Verify if issues can be found in curation after all the settings has been disabled for FAQ bot,,2020-06-23 20:01:28,2020-06-23 20:03:56,2m - 28.696s,PASSED
Start listener action : setUp,Chrome 83.0.4103.106,,,2020-06-23 20:01:29,2020-06-23 20:01:50,20.642s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.106,,,2020-06-23 20:01:52,2020-06-23 20:02:23,30.994s,PASSED
"platform.Method.navigateToBot(""Q&A bots"", FAQ_BOT)",Chrome 83.0.4103.106,,,2020-06-23 20:02:23,2020-06-23 20:02:29,6.193s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 83.0.4103.106,,,2020-06-23 20:02:29,2020-06-23 20:02:34,4.729s,PASSED
platform.Method.trainAndComment(comment),Chrome 83.0.4103.106,,,2020-06-23 20:02:34,2020-06-23 20:02:40,6.532s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 83.0.4103.106,,,2020-06-23 20:02:40,2020-06-23 20:02:43,2.377s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER))",Chrome 83.0.4103.106,,,2020-06-23 20:02:43,2020-06-23 20:02:46,3.359s,PASSED
oldRoomIdList = new java.util.ArrayList(),Chrome 83.0.4103.106,,,2020-06-23 20:02:46,2020-06-23 20:02:46,0.006s,PASSED
oldRoomIdList = platform.Utility.getRoomID(),Chrome 83.0.4103.106,,,2020-06-23 20:02:46,2020-06-23 20:02:51,4.687s,PASSED
oldRoomID = get(0).toString(),Chrome 83.0.4103.106,,,2020-06-23 20:02:51,2020-06-23 20:02:51,0.008s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 83.0.4103.106,,,2020-06-23 20:02:51,2020-06-23 20:02:53,2.288s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/curation""))",Chrome 83.0.4103.106,,,2020-06-23 20:02:53,2020-06-23 20:02:56,2.467s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Issues""]))",Chrome 83.0.4103.106,,,2020-06-23 20:02:56,2020-06-23 20:02:58,2.473s,PASSED
"platform.CurationSettings.filterRuleTriggered(""Low confidence"")",Chrome 83.0.4103.106,,,2020-06-23 20:02:58,2020-06-23 20:03:06,8.453s,PASSED
