Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
shareablepreview,Chrome 83.0.4103.116,,,2020-06-29 20:58:09,2020-06-29 21:04:24,6m - 14.959s,INCOMPLETE
,,,,,,,
Test Cases/SetUp/setUpCustomSyn_ShareablePreview1,Chrome 83.0.4103.116,Agenda: Set up articles only for shareable preview faq bot,,2020-06-29 20:58:09,2020-06-29 21:01:17,3m - 8.030s,PASSED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-06-29 20:58:10,2020-06-29 20:58:28,18.497s,PASSED
"callTestCase(findTestCase(""Faqbot/botCreation_Test""), [""nameOfTheBot"":PREVIEW_BOT], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-06-29 20:58:30,2020-06-29 20:59:19,49.175s,PASSED
"testData = findTestData(""Data Files/testData_Dummy"")",Chrome 83.0.4103.116,,,2020-06-29 20:59:19,2020-06-29 20:59:22,3.411s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 83.0.4103.116,,,2020-06-29 20:59:22,2020-06-29 20:59:24,2.243s,PASSED
"platform.Articles.createNewArticle(testData, testData.getValue(""article_default_question"", 1))",Chrome 83.0.4103.116,,,2020-06-29 20:59:24,2020-06-29 20:59:30,5.825s,PASSED
"platform.Response.addImage(true, testData.getValue(""image_url"", 1))",Chrome 83.0.4103.116,,,2020-06-29 20:59:30,2020-06-29 20:59:40,9.930s,PASSED
"platform.Response.addText(testData.getValue(""text_response"", 1))",Chrome 83.0.4103.116,,,2020-06-29 20:59:40,2020-06-29 20:59:50,9.304s,PASSED
"platform.Articles.saveAndTrainArticleToNewCategory(testData.getValue(""category"", 1))",Chrome 83.0.4103.116,,,2020-06-29 20:59:50,2020-06-29 20:59:59,9.487s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-06-29 20:59:59,2020-06-29 21:00:03,4.325s,PASSED
"platform.Articles.createNewArticle(testData, testData.getValue(""article_default_question"", 2))",Chrome 83.0.4103.116,,,2020-06-29 21:00:03,2020-06-29 21:00:09,5.303s,PASSED
"platform.Response.addCodeFunction(true, testData.getValue(""code_function"", 1))",Chrome 83.0.4103.116,,,2020-06-29 21:00:09,2020-06-29 21:00:18,9.449s,PASSED
"platform.Response.addText(testData.getValue(""text_response"", 2))",Chrome 83.0.4103.116,,,2020-06-29 21:00:18,2020-06-29 21:00:24,6.173s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-06-29 21:00:24,2020-06-29 21:00:46,21.670s,PASSED
"platform.Articles.saveAndTrainArticleToNewCategory(testData.getValue(""category"", 2))",Chrome 83.0.4103.116,,,2020-06-29 21:00:46,2020-06-29 21:00:56,9.583s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-06-29 21:00:56,2020-06-29 21:00:59,2.994s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createArticle""))",Chrome 83.0.4103.116,,,2020-06-29 21:00:59,2020-06-29 21:01:01,2.568s,PASSED
"sendKeys(findTestObject(""Input/defaultQuestion""), ""How can I contact this property?"")",Chrome 83.0.4103.116,,,2020-06-29 21:01:01,2020-06-29 21:01:05,3.428s,PASSED
"sendKeys(findTestObject(""Input/textResponse""), ""Please drop an email at estateproperty@dealer.com or can call at ph: +9876543210"")",Chrome 83.0.4103.116,,,2020-06-29 21:01:05,2020-06-29 21:01:08,3.701s,PASSED
"platform.Articles.saveAndTrainArticleToExistingCategory("" Unassigned "")",Chrome 83.0.4103.116,,,2020-06-29 21:01:08,2020-06-29 21:01:17,9.137s,PASSED
,,,,,,,
Test Cases/SetUp/setUpCustomSyn_ShareablePreview2,Chrome 83.0.4103.116,,,2020-06-29 21:01:17,2020-06-29 21:03:22,2m - 4.978s,FAILED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-06-29 21:01:18,2020-06-29 21:01:41,23.475s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-06-29 21:01:42,2020-06-29 21:02:03,21.013s,PASSED
"platform.Method.navigateToBot(""Q&A bots"", PREVIEW_BOT)",Chrome 83.0.4103.116,,,2020-06-29 21:02:03,2020-06-29 21:02:09,5.910s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 83.0.4103.116,,,2020-06-29 21:02:09,2020-06-29 21:02:14,5.248s,PASSED
"testData = findTestData(""Data Files/testData_Dummy"")",Chrome 83.0.4103.116,,,2020-06-29 21:02:14,2020-06-29 21:02:15,0.967s,PASSED
"platform.Articles.createNewArticle(testData, testData.getValue(""carousel_question"", 1))",Chrome 83.0.4103.116,,,2020-06-29 21:02:15,2020-06-29 21:02:21,5.968s,PASSED
platform.Response.addCarousel(true),Chrome 83.0.4103.116,,,2020-06-29 21:02:21,2020-06-29 21:02:26,4.633s,PASSED
"for ([count = 1, count <= testData.getRowNumbers(), (count++)])",Chrome 83.0.4103.116,,,2020-06-29 21:02:26,2020-06-29 21:03:22,56.693s,FAILED
,,,,,,,
Test Cases/SetUp/setUpCustomSyn_ShareablePreview3,Chrome 83.0.4103.116,,,2020-06-29 21:03:22,2020-06-29 21:04:24,1m - 1.096s,ERROR
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-06-29 21:03:22,2020-06-29 21:03:38,15.877s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-06-29 21:03:39,2020-06-29 21:03:59,20.179s,PASSED
"platform.Method.navigateToBot(""Q&A bots"", PREVIEW_BOT)",Chrome 83.0.4103.116,,,2020-06-29 21:03:59,2020-06-29 21:04:05,5.684s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 83.0.4103.116,,,2020-06-29 21:04:05,2020-06-29 21:04:09,3.496s,PASSED
"testData = findTestData(""Data Files/testData_Dummy"")",Chrome 83.0.4103.116,,,2020-06-29 21:04:09,2020-06-29 21:04:09,0.635s,PASSED
"platform.Articles.createNewArticle(testData, testData.getValue(""article_default_question"", 3))",Chrome 83.0.4103.116,,,2020-06-29 21:04:09,2020-06-29 21:04:15,5.780s,PASSED
"platform.Response.addQuickReplies(true, testData.getValue(""quick_reply"", 1))",Chrome 83.0.4103.116,,,2020-06-29 21:04:15,2020-06-29 21:04:23,8.503s,ERROR
