Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
faqSuiteE2E,Chrome 83.0.4103.116,,,2020-07-07 16:21:10,2020-07-07 17:01:39,40m - 29.151s,INCOMPLETE
,,,,,,,
Test Cases/Faqbot/botCreation_Test,Chrome 83.0.4103.116,TestCase Agenda: To test faq bot creation,,2020-07-07 16:21:13,2020-07-07 16:23:43,2m - 29.936s,FAILED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-07 16:21:17,2020-07-07 16:21:49,31.454s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-07 16:21:50,2020-07-07 16:22:22,32.022s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 83.0.4103.116,,,2020-07-07 16:22:22,2020-07-07 16:22:27,5.041s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 83.0.4103.116,,,2020-07-07 16:22:27,2020-07-07 16:22:31,3.441s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 83.0.4103.116,,,2020-07-07 16:22:31,2020-07-07 16:22:33,2.218s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 83.0.4103.116,,,2020-07-07 16:22:33,2020-07-07 16:22:36,2.647s,PASSED
"waitForElementVisible(findTestObject(""Generic/articleState""), 45, OPTIONAL)",Chrome 83.0.4103.116,,,2020-07-07 16:22:36,2020-07-07 16:23:26,50.276s,PASSED
"verifyElementText(findTestObject(""Generic/articleState""), ""Trained"", STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-07 16:23:26,2020-07-07 16:23:43,17.057s,FAILED
,,,,,,,
Test Cases/Faqbot/botSideOptionsNavigation_Test,Chrome 83.0.4103.116,TestCase Agenda: To navigate module within a FAQ bot,,2020-07-07 16:23:43,2020-07-07 16:25:29,1m - 45.876s,PASSED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-07 16:23:43,2020-07-07 16:24:06,23.143s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-07 16:24:07,2020-07-07 16:24:35,28.098s,PASSED
"platform.Method.navigateToBot(""Q&A bots"", FAQ_BOT)",Chrome 83.0.4103.116,,,2020-07-07 16:24:35,2020-07-07 16:24:42,6.926s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-07 16:24:42,2020-07-07 16:24:46,3.929s,PASSED
