Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deleteAllBot,Chrome 83.0.4103.116,,,2020-07-08 13:34:10,2020-07-08 13:40:57,6m - 47.496s,INCOMPLETE
,,,,,,,
Test Cases/Routerbot/botDeletion_Test,Chrome 83.0.4103.116,"TestCase Agenda: Verify if a user(Admin) can successfully delete a router bot

Step 1: Navigate to bot 
Step 2: Click on kebab menu on top right and select 'Delete' option
Step 3: Click on delete bot button (confirmation)
Step 4: Navigate to router bots page to verify if bot name is present",,2020-07-08 13:34:12,2020-07-08 13:35:43,1m - 31.066s,PASSED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-08 13:34:12,2020-07-08 13:34:39,26.210s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-08 13:34:39,2020-07-08 13:35:06,27.164s,PASSED
"platform.Method.navigateToBot(""Router bots"", ROUTER_BOT)",Chrome 83.0.4103.116,,,2020-07-08 13:35:06,2020-07-08 13:35:13,6.812s,PASSED
"platform.Method.selectFromHamburgerMenu(""Delete"")",Chrome 83.0.4103.116,,,2020-07-08 13:35:13,2020-07-08 13:35:20,6.681s,PASSED
"platform.Method.toClickOnWebElement(findTestObject(""Generic/botDeleteBtn""))",Chrome 83.0.4103.116,,,2020-07-08 13:35:20,2020-07-08 13:35:23,2.609s,PASSED
delay(5),Chrome 83.0.4103.116,,,2020-07-08 13:35:23,2020-07-08 13:35:28,5.028s,PASSED
"platform.Method.toClickOnWebElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Router bots""]))",Chrome 83.0.4103.116,,,2020-07-08 13:35:28,2020-07-08 13:35:40,12.540s,PASSED
"verifyTextNotPresent(ROUTER_BOT, false, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-08 13:35:40,2020-07-08 13:35:43,2.802s,PASSED
,,,,,,,
Test Cases/Faqbot/botDeletion_Test,Chrome 83.0.4103.116,TestCase Agenda: Successfully able to delete a bot,,2020-07-08 13:35:43,2020-07-08 13:36:48,1m - 4.858s,FAILED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-08 13:35:43,2020-07-08 13:36:00,17.411s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-08 13:36:01,2020-07-08 13:36:26,25.365s,PASSED
"platform.Method.navigateToBot(""Q&A bots"", FAQ_BOT)",Chrome 83.0.4103.116,,,2020-07-08 13:36:26,2020-07-08 13:36:32,6.010s,PASSED
