Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
smartSuiteE2E,Chrome 83.0.4103.116,,,2020-07-08 14:18:46,2020-07-08 14:44:33,25m - 47.222s,INCOMPLETE
,,,,,,,
Test Cases/Smartbot/botCreation_Test,Chrome 83.0.4103.116,TestCase Agenda: Verify successful creation of smart bot,,2020-07-08 14:18:52,2020-07-08 14:22:34,3m - 42.305s,PASSED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-08 14:19:13,2020-07-08 14:20:08,54.488s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-08 14:20:14,2020-07-08 14:21:52,1m - 38.703s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Smart bots""]))",Chrome 83.0.4103.116,,,2020-07-08 14:21:52,2020-07-08 14:21:58,5.320s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 83.0.4103.116,,,2020-07-08 14:21:58,2020-07-08 14:22:05,7.483s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 83.0.4103.116,,,2020-07-08 14:22:05,2020-07-08 14:22:09,3.989s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 83.0.4103.116,,,2020-07-08 14:22:09,2020-07-08 14:22:12,2.672s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 83.0.4103.116,,,2020-07-08 14:22:12,2020-07-08 14:22:15,3.048s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 83.0.4103.116,,,2020-07-08 14:22:15,2020-07-08 14:22:18,2.776s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 83.0.4103.116,,,2020-07-08 14:22:18,2020-07-08 14:22:21,3.177s,PASSED
"waitForElementPresent(findTestObject(""Button/updateBot""), 30, OPTIONAL)",Chrome 83.0.4103.116,,,2020-07-08 14:22:21,2020-07-08 14:22:34,12.948s,PASSED
,,,,,,,
Test Cases/Smartbot/nlpConceptCreation_Test,Chrome 83.0.4103.116,TestCase Agenda: Verify if user create concept and add module to smart bot,,2020-07-08 14:22:34,2020-07-08 14:25:17,2m - 42.880s,ERROR
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-08 14:22:43,2020-07-08 14:23:25,41.346s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-08 14:23:28,2020-07-08 14:24:48,1m - 20.929s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 83.0.4103.116,,,2020-07-08 14:24:48,2020-07-08 14:24:52,3.746s,PASSED
"platform.Method.navigateToBot(""Smart bots"", SMART_BOT)",Chrome 83.0.4103.116,,,2020-07-08 14:24:52,2020-07-08 14:25:02,9.279s,PASSED
"testData = findTestData(""testData_Smart"")",Chrome 83.0.4103.116,,,2020-07-08 14:25:02,2020-07-08 14:25:03,1.019s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 83.0.4103.116,,,2020-07-08 14:25:03,2020-07-08 14:25:17,14.292s,ERROR
,,,,,,,
Test Cases/Smartbot/setUpLogicAndBotPreviewTest,Chrome 83.0.4103.116,TestCase Agenda: Verify if bot responsed correctly on weather information post logic set up,,2020-07-08 14:25:17,2020-07-08 14:30:21,5m - 3.216s,FAILED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-08 14:25:18,2020-07-08 14:26:07,48.257s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-08 14:26:12,2020-07-08 14:27:38,1m - 26.580s,PASSED
