Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
taskSuiteE2E,Chrome 83.0.4103.116,,,2020-07-14 13:32:28,2020-07-14 14:25:17,52m - 48.667s,INCOMPLETE
,,,,,,,
Test Cases/Taskbot/botCreation_Test,Chrome 83.0.4103.116,TestCase Agenda: Verification of task bot creation,,2020-07-14 13:32:34,2020-07-14 13:35:30,2m - 56.245s,PASSED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-14 13:32:51,2020-07-14 13:33:37,45.893s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-14 13:33:43,2020-07-14 13:34:52,1m - 8.890s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 83.0.4103.116,,,2020-07-14 13:34:52,2020-07-14 13:34:58,5.526s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 83.0.4103.116,,,2020-07-14 13:34:58,2020-07-14 13:35:02,4.906s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 83.0.4103.116,,,2020-07-14 13:35:02,2020-07-14 13:35:09,6.335s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 83.0.4103.116,,,2020-07-14 13:35:09,2020-07-14 13:35:11,2.515s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 83.0.4103.116,,,2020-07-14 13:35:11,2020-07-14 13:35:14,2.322s,PASSED
"waitForElementVisible(findTestObject(""Generic/modelState""), 60, OPTIONAL)",Chrome 83.0.4103.116,,,2020-07-14 13:35:14,2020-07-14 13:35:28,14.272s,PASSED
"verifyElementText(findTestObject(""Generic/modelState""), ""Trained"", STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-14 13:35:28,2020-07-14 13:35:30,2.456s,PASSED
,,,,,,,
Test Cases/Taskbot/botCardMenu_Test,Chrome 83.0.4103.116,TestCase Agenda: Verify bot card option for task bot,,2020-07-14 13:35:30,2020-07-14 13:38:38,3m - 7.745s,PASSED
Start listener action : setUp,Chrome 83.0.4103.116,,,2020-07-14 13:35:31,2020-07-14 13:36:19,48.533s,PASSED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-14 13:36:20,2020-07-14 13:37:20,59.394s,PASSED
"botCardOptions = platform.Method.verifyBotCardMenu(""Task bots"", TASK_BOT)",Chrome 83.0.4103.116,,,2020-07-14 13:37:20,2020-07-14 13:37:45,25.665s,PASSED
"verifyElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Copy Preview Link""]), 5, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-14 13:37:45,2020-07-14 13:37:47,1.683s,PASSED
assert botCardOptions.containsAll(BOT_CARD_OPTION) == true,Chrome 83.0.4103.116,,,2020-07-14 13:37:47,2020-07-14 13:37:47,0.138s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":TASK_BOT]))",Chrome 83.0.4103.116,,,2020-07-14 13:37:47,2020-07-14 13:37:50,2.792s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-14 13:37:50,2020-07-14 13:38:01,11.060s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 83.0.4103.116,,,2020-07-14 13:38:01,2020-07-14 13:38:06,4.696s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-14 13:38:06,2020-07-14 13:38:08,1.785s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 83.0.4103.116,,,2020-07-14 13:38:08,2020-07-14 13:38:11,3.699s,PASSED
