Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo,Chrome 84.0.4147.135,,,2020-08-26 12:05:22,2020-08-26 12:26:16,20m - 53.191s,INCOMPLETE
,,,,,,,
Test Cases/FAQ/botCreation_Test,Chrome 84.0.4147.135,TestCase Agenda: To test faq bot creation,,2020-08-26 12:06:12,2020-08-26 12:06:38,25.303s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 84.0.4147.135,,,2020-08-26 12:06:13,2020-08-26 12:06:17,3.030s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 84.0.4147.135,,,2020-08-26 12:06:17,2020-08-26 12:06:20,3.094s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 84.0.4147.135,,,2020-08-26 12:06:20,2020-08-26 12:06:22,2.265s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 84.0.4147.135,,,2020-08-26 12:06:22,2020-08-26 12:06:24,2.329s,PASSED
"waitForElementVisible(findTestObject(""Generic/articleState""), 60, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:06:24,2020-08-26 12:06:33,8.712s,PASSED
"verifyElementText(findTestObject(""Generic/articleState""), ""Trained"", STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:06:33,2020-08-26 12:06:35,2.366s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 84.0.4147.135,,,2020-08-26 12:06:35,2020-08-26 12:06:38,2.386s,PASSED
,,,,,,,
Test Cases/FAQ/botSideOptionsNavigation_Test,Chrome 84.0.4147.135,TestCase Agenda: To navigate module within a FAQ bot,,2020-08-26 12:06:38,2020-08-26 12:07:22,43.947s,PASSED
"platform.Method.clickOnElement(findTestObject(""ICONS/sidebarSettings""))",Chrome 84.0.4147.135,,,2020-08-26 12:06:39,2020-08-26 12:06:43,3.884s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:06:43,2020-08-26 12:06:44,1.248s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Management""]))",Chrome 84.0.4147.135,,,2020-08-26 12:06:44,2020-08-26 12:06:46,2.452s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot status""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:06:46,2020-08-26 12:06:48,1.384s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Security""]))",Chrome 84.0.4147.135,,,2020-08-26 12:06:48,2020-08-26 12:06:50,2.336s,PASSED
"verifyElementPresent(findTestObject(""NewRepo/inputConsentDisclaimer""), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:06:50,2020-08-26 12:06:51,1.342s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Handover and Inference""]))",Chrome 84.0.4147.135,,,2020-08-26 12:06:51,2020-08-26 12:06:54,2.362s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Inference""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:06:54,2020-08-26 12:06:55,1.385s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Integrations""]))",Chrome 84.0.4147.135,,,2020-08-26 12:06:55,2020-08-26 12:06:58,2.396s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Chat Agent Platforms""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:06:58,2020-08-26 12:06:59,1.354s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 84.0.4147.135,,,2020-08-26 12:06:59,2020-08-26 12:07:02,2.684s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:02,2020-08-26 12:07:03,1.300s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Knowledge base""]))",Chrome 84.0.4147.135,,,2020-08-26 12:07:03,2020-08-26 12:07:05,2.251s,PASSED
"verifyElementPresent(findTestObject(""NewRepo/newConceptBtn""), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:05,2020-08-26 12:07:06,1.339s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 84.0.4147.135,,,2020-08-26 12:07:06,2020-08-26 12:07:09,2.321s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Knowledge base""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:09,2020-08-26 12:07:10,1.302s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Curation""]))",Chrome 84.0.4147.135,,,2020-08-26 12:07:10,2020-08-26 12:07:13,2.487s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Unresolved issues""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:13,2020-08-26 12:07:14,1.405s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 84.0.4147.135,,,2020-08-26 12:07:14,2020-08-26 12:07:17,2.639s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Conversations""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:17,2020-08-26 12:07:18,1.301s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]))",Chrome 84.0.4147.135,,,2020-08-26 12:07:18,2020-08-26 12:07:20,2.358s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:20,2020-08-26 12:07:22,1.364s,PASSED
,,,,,,,
Test Cases/FAQ/botUrlAndDefaultArticleConfiguration_Test,Chrome 84.0.4147.135,TestCase Agenda: Update bot logo and welcome message,,2020-08-26 12:07:22,2020-08-26 12:08:31,1m - 9.231s,PASSED
"platform.Method.clickOnElement(findTestObject(""ICONS/sidebarSettings""))",Chrome 84.0.4147.135,,,2020-08-26 12:07:28,2020-08-26 12:07:31,3.543s,PASSED
"waitForElementPresent(findTestObject(""Input/botLogo""), 20, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:07:31,2020-08-26 12:07:32,1.351s,PASSED
"setText(findTestObject(""Input/botLogo""), botLogo)",Chrome 84.0.4147.135,,,2020-08-26 12:07:32,2020-08-26 12:07:39,6.139s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/updateBot""))",Chrome 84.0.4147.135,,,2020-08-26 12:07:39,2020-08-26 12:07:41,2.327s,PASSED
"verifyElementPresent(findTestObject(""ICONS/toastMsg""), 15, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:07:41,2020-08-26 12:07:46,4.887s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 84.0.4147.135,,,2020-08-26 12:07:46,2020-08-26 12:07:48,2.547s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Welcome Message""]))",Chrome 84.0.4147.135,,,2020-08-26 12:07:48,2020-08-26 12:07:51,2.965s,PASSED
"setText(findTestObject(""Input/textResponse""), welcomeMessage)",Chrome 84.0.4147.135,,,2020-08-26 12:07:51,2020-08-26 12:07:57,5.574s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/save"", [""value"":""Save""]))",Chrome 84.0.4147.135,,,2020-08-26 12:07:57,2020-08-26 12:07:59,2.303s,PASSED
platform.Method.trainAndComment(comment),Chrome 84.0.4147.135,,,2020-08-26 12:07:59,2020-08-26 12:08:06,6.509s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Partial match""]))",Chrome 84.0.4147.135,,,2020-08-26 12:08:06,2020-08-26 12:08:08,2.482s,PASSED
"setText(findTestObject(""Input/textResponse""), customMessage)",Chrome 84.0.4147.135,,,2020-08-26 12:08:08,2020-08-26 12:08:14,5.979s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/save"", [""value"":""Save""]))",Chrome 84.0.4147.135,,,2020-08-26 12:08:14,2020-08-26 12:08:16,2.336s,PASSED
"verifyElementNotPresent(findTestObject(""Button/train""), 5, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:08:16,2020-08-26 12:08:18,1.620s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 84.0.4147.135,,,2020-08-26 12:08:18,2020-08-26 12:08:21,2.558s,PASSED
"verifyElementText(findTestObject(""Generic/botReponse"", [""index"":1]), welcomeMessage, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:08:21,2020-08-26 12:08:23,2.306s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 84.0.4147.135,,,2020-08-26 12:08:23,2020-08-26 12:08:25,2.387s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 84.0.4147.135,,,2020-08-26 12:08:25,2020-08-26 12:08:31,5.393s,PASSED
"comment(""################"")",Chrome 84.0.4147.135,,,2020-08-26 12:08:31,2020-08-26 12:08:31,0.132s,PASSED
,,,,,,,
Test Cases/FAQ/botCardMenuWithFallbackMessage_Test,Chrome 84.0.4147.135,"TestCase Agenda: Preview bot to answer with a fallback response, save the room id so later we can use it curate the query",,2020-08-26 12:08:31,2020-08-26 12:09:16,45.252s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:08:32,2020-08-26 12:08:36,3.445s,PASSED
"botCardOptions = platform.Method.verifyBotCardMenu(""Q&A bots"", FAQ_BOT)",Chrome 84.0.4147.135,,,2020-08-26 12:08:36,2020-08-26 12:08:52,16.320s,PASSED
"verifyElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Copy Preview Link""]), 5, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:08:52,2020-08-26 12:08:53,1.200s,PASSED
assert botCardOptions.containsAll(BOT_CARD_OPTION) == true,Chrome 84.0.4147.135,,,2020-08-26 12:08:53,2020-08-26 12:08:53,0.009s,PASSED
"platform.Response.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":FAQ_BOT]))",Chrome 84.0.4147.135,,,2020-08-26 12:08:53,2020-08-26 12:08:56,2.974s,PASSED
"platform.Response.clickOnElement(findTestObject(""Button/preview""))",Chrome 84.0.4147.135,,,2020-08-26 12:08:56,2020-08-26 12:08:59,2.574s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER))",Chrome 84.0.4147.135,,,2020-08-26 12:08:59,2020-08-26 12:09:02,3.365s,PASSED
"waitForElementPresent(findTestObject(""Generic/botReponse"", [""index"":2]), 20, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:09:02,2020-08-26 12:09:04,1.301s,PASSED
"verifyElementText(findTestObject(""Generic/botReponse"", [""index"":2]), botResponse, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:09:04,2020-08-26 12:09:06,2.259s,PASSED
getRoomIdAt = new java.util.ArrayList(),Chrome 84.0.4147.135,,,2020-08-26 12:09:06,2020-08-26 12:09:06,0.002s,PASSED
getRoomIdAt = platform.Utility.getRoomID(),Chrome 84.0.4147.135,,,2020-08-26 12:09:06,2020-08-26 12:09:13,6.971s,PASSED
"platform.Utility.overWriteTestData(sheetName, rowNumber, cellNumber, get(0).toString())",Chrome 84.0.4147.135,,,2020-08-26 12:09:13,2020-08-26 12:09:14,1.034s,PASSED
"platform.Response.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 84.0.4147.135,,,2020-08-26 12:09:14,2020-08-26 12:09:16,2.334s,PASSED
,,,,,,,
Test Cases/FAQ/importArticlesFromCsv_Test,Chrome 84.0.4147.135,"TestCase Agenda: Import articles from csv, train bot with data and query bot for response",,2020-08-26 12:09:16,2020-08-26 12:09:59,42.544s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 84.0.4147.135,,,2020-08-26 12:09:17,2020-08-26 12:09:19,2.383s,PASSED
"platform.Articles.selectFromKebabMenu(findTestObject(""Button/importIcon""), ""Import From CSV"")",Chrome 84.0.4147.135,,,2020-08-26 12:09:19,2020-08-26 12:09:26,6.944s,PASSED
"platform.Method.uploadCsvFile(false, fileName)",Chrome 84.0.4147.135,,,2020-08-26 12:09:26,2020-08-26 12:09:31,4.733s,PASSED
platform.Method.trainAndComment(comment),Chrome 84.0.4147.135,,,2020-08-26 12:09:31,2020-08-26 12:09:41,9.619s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:09:41,2020-08-26 12:09:42,1.360s,PASSED
"platform.Response.clickOnElement(findTestObject(""Button/preview""))",Chrome 84.0.4147.135,,,2020-08-26 12:09:42,2020-08-26 12:09:44,2.529s,PASSED
"waitForElementPresent(findTestObject(""Input/chatInput""), 5, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:09:44,2020-08-26 12:09:46,1.263s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER))",Chrome 84.0.4147.135,,,2020-08-26 12:09:46,2020-08-26 12:09:49,3.382s,PASSED
delay(1),Chrome 84.0.4147.135,,,2020-08-26 12:09:49,2020-08-26 12:09:50,1.039s,PASSED
platform.Preview.verifyBotResponse(stringToCheck),Chrome 84.0.4147.135,,,2020-08-26 12:09:50,2020-08-26 12:09:56,6.305s,PASSED
"platform.Response.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 84.0.4147.135,,,2020-08-26 12:09:56,2020-08-26 12:09:59,2.273s,PASSED
,,,,,,,
Test Cases/FAQ/extractArticleFromExternalLink_Test,Chrome 84.0.4147.135,"TestCase Agenda: To ensure if faq bots are able to extract faq from external site

Step 1: Extract question from external link
Step 2: Train bot with new data
Step 3: Preview bot 
Step 4: Verify bot response",,2020-08-26 12:09:59,2020-08-26 12:11:17,1m - 17.881s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 84.0.4147.135,,,2020-08-26 12:10:00,2020-08-26 12:10:02,2.182s,PASSED
"platform.Articles.selectFromKebabMenu(findTestObject(""Button/extractExtLink""), ""Extract from external link"")",Chrome 84.0.4147.135,,,2020-08-26 12:10:02,2020-08-26 12:10:09,6.759s,PASSED
"verifyElementHasAttribute(findTestObject(""Button/extract""), ""disabled"", 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:10:09,2020-08-26 12:10:11,2.302s,PASSED
"sendKeys(findTestObject(""Input/extractLink""), EXTERNAL_LINK)",Chrome 84.0.4147.135,,,2020-08-26 12:10:11,2020-08-26 12:10:14,3.000s,PASSED
"platform.Method.toClickOnWebElement(findTestObject(""Button/extract""))",Chrome 84.0.4147.135,,,2020-08-26 12:10:14,2020-08-26 12:10:17,2.538s,PASSED
"check(findTestObject(""Generic/articleCheckbox"", [""index"":1]))",Chrome 84.0.4147.135,,,2020-08-26 12:10:17,2020-08-26 12:10:22,5.321s,PASSED
"check(findTestObject(""Generic/articleCheckbox"", [""index"":3]))",Chrome 84.0.4147.135,,,2020-08-26 12:10:22,2020-08-26 12:10:26,3.455s,PASSED
"check(findTestObject(""Generic/articleCheckbox"", [""index"":5]))",Chrome 84.0.4147.135,,,2020-08-26 12:10:26,2020-08-26 12:10:29,3.649s,PASSED
"testObject = modifyObjectProperty(findTestObject(""Generic/header""), ""class"", ""not equals"", ""heading"", true)",Chrome 84.0.4147.135,,,2020-08-26 12:10:29,2020-08-26 12:10:30,0.394s,PASSED
"getText().contains(""3"")",Chrome 84.0.4147.135,,,2020-08-26 12:10:30,2020-08-26 12:10:32,2.275s,PASSED
"scrollToElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Import FAQs from link""]), 10)",Chrome 84.0.4147.135,,,2020-08-26 12:10:32,2020-08-26 12:10:34,2.360s,PASSED
"check(findTestObject(""Generic/allFaqCheckbox""))",Chrome 84.0.4147.135,,,2020-08-26 12:10:34,2020-08-26 12:10:38,3.440s,PASSED
"getText().contains(""10"")",Chrome 84.0.4147.135,,,2020-08-26 12:10:38,2020-08-26 12:10:40,2.113s,PASSED
"scrollToElement(findTestObject(""Generic/faqImportBtn""), 10)",Chrome 84.0.4147.135,,,2020-08-26 12:10:40,2020-08-26 12:10:42,2.285s,PASSED
"override = modifyObjectProperty(findTestObject(""Toggle/override""), ""xpath"", ""not equals"", ""//mat-slide-toggle[@formcontrolname='Override']//label/div"", true, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:10:42,2020-08-26 12:10:42,0.216s,PASSED
platform.Method.clickOnElement(override),Chrome 84.0.4147.135,,,2020-08-26 12:10:42,2020-08-26 12:10:44,2.104s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/faqImportBtn""))",Chrome 84.0.4147.135,,,2020-08-26 12:10:44,2020-08-26 12:10:47,2.286s,PASSED
"verifyElementText(findTestObject(""Generic/articleState""), ""Saved"", STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:10:47,2020-08-26 12:10:49,2.355s,PASSED
"verifyElementPresent(findTestObject(""Generic/nextPage""), 5, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:10:49,2020-08-26 12:10:50,1.198s,PASSED
platform.Method.trainAndComment(comment),Chrome 84.0.4147.135,,,2020-08-26 12:10:50,2020-08-26 12:11:01,10.568s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:11:01,2020-08-26 12:11:04,2.852s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:04,2020-08-26 12:11:06,2.502s,PASSED
"waitForElementPresent(findTestObject(""Input/chatInput""), 10, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:11:06,2020-08-26 12:11:08,1.346s,PASSED
"platform.Preview.verifyBotTextResponse(userQuery, 2, strCheck)",Chrome 84.0.4147.135,,,2020-08-26 12:11:08,2020-08-26 12:11:14,6.716s,PASSED
"platform.Response.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:14,2020-08-26 12:11:17,2.330s,PASSED
,,,,,,,
Test Cases/FAQ/searchArticle_Test,Chrome 84.0.4147.135,TestCase Agenda: Verify if the search bar for article is able to display result properly,,2020-08-26 12:11:17,2020-08-26 12:11:37,20.316s,PASSED
"sendKeys(findTestObject(""Input/searchForQuestion""), searchQuestion)",Chrome 84.0.4147.135,,,2020-08-26 12:11:17,2020-08-26 12:11:21,3.350s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/searchResult""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:21,2020-08-26 12:11:24,2.886s,PASSED
"firstQuestion = findWebElement(findTestObject(""Generic/header""), 10).getText()",Chrome 84.0.4147.135,,,2020-08-26 12:11:24,2020-08-26 12:11:26,2.337s,PASSED
"setText(findTestObject(""Input/searchForQuestion""), newSearchQuestion)",Chrome 84.0.4147.135,,,2020-08-26 12:11:26,2020-08-26 12:11:30,3.819s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/searchResult""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:30,2020-08-26 12:11:32,2.479s,PASSED
"newFirstQuestion = findWebElement(findTestObject(""Generic/header""), 10).getText()",Chrome 84.0.4147.135,,,2020-08-26 12:11:32,2020-08-26 12:11:35,2.389s,PASSED
assert firstQuestion.equalsIgnoreCase(newFirstQuestion) == false,Chrome 84.0.4147.135,,,2020-08-26 12:11:35,2020-08-26 12:11:35,0.004s,PASSED
"clearText(findTestObject(""Input/searchForQuestion""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:35,2020-08-26 12:11:37,2.341s,PASSED
,,,,,,,
Test Cases/FAQ/downvoteWithComment_Test,Chrome 84.0.4147.135,"TestCase Agenda: To verify if bot response can be downvoted and add a comment to it

Step 1: Preview bot for response
Step 2: Downvote response
Step 3: Got to room in Sessions 
Step 4: Verify downvote with comment",,2020-08-26 12:11:37,2020-08-26 12:12:51,1m - 14.508s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/articles""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:39,2020-08-26 12:11:41,2.266s,PASSED
platform.Method.trainAndComment(comment),Chrome 84.0.4147.135,,,2020-08-26 12:11:41,2020-08-26 12:11:48,6.389s,PASSED
try,Chrome 84.0.4147.135,,,2020-08-26 12:11:48,2020-08-26 12:11:59,11.120s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 84.0.4147.135,,,2020-08-26 12:11:59,2020-08-26 12:12:02,2.943s,PASSED
"waitForElementPresent(findTestObject(""Input/chatInput""), 20, STOP_ON_FAILURE)",Chrome 84.0.4147.135,,,2020-08-26 12:12:02,2020-08-26 12:12:03,1.340s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER))",Chrome 84.0.4147.135,,,2020-08-26 12:12:03,2020-08-26 12:12:07,3.353s,PASSED
"verifyElementText(findTestObject(""Generic/botReponse"", [""index"":2]), botResponse, OPTIONAL)",Chrome 84.0.4147.135,,,2020-08-26 12:12:07,2020-08-26 12:12:09,2.376s,PASSED
platform.Preview.downvoteResponseWithComment(downvoteComment),Chrome 84.0.4147.135,,,2020-08-26 12:12:09,2020-08-26 12:12:17,8.078s,PASSED
getRoomIdAt = new java.util.ArrayList(),Chrome 84.0.4147.135,,,2020-08-26 12:12:17,2020-08-26 12:12:17,0.002s,PASSED
getRoomIdAt = platform.Utility.getRoomID(),Chrome 84.0.4147.135,,,2020-08-26 12:12:17,2020-08-26 12:12:27,10.127s,PASSED
roomID = get(0).toString(),Chrome 84.0.4147.135,,,2020-08-26 12:12:27,2020-08-26 12:12:27,0.002s,PASSED
"platform.Utility.overWriteTestData(sheetName, rowNumber, cellNumber, roomID)",Chrome 84.0.4147.135,,,2020-08-26 12:12:27,2020-08-26 12:12:28,0.422s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 84.0.4147.135,,,2020-08-26 12:12:28,2020-08-26 12:12:31,3.273s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 84.0.4147.135,,,2020-08-26 12:12:31,2020-08-26 12:12:33,2.477s,PASSED
"setText(findTestObject(""Input/roomID"", [""value"":""id""]), roomID)",Chrome 84.0.4147.135,,,2020-08-26 12:12:33,2020-08-26 12:12:37,3.896s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/submitSession""))",Chrome 84.0.4147.135,,,2020-08-26 12:12:37,2020-08-26 12:12:40,2.309s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":roomID]), 10)",Chrome 84.0.4147.135,,,2020-08-26 12:12:40,2020-08-26 12:12:41,1.283s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":roomID]))",Chrome 84.0.4147.135,,,2020-08-26 12:12:41,2020-08-26 12:12:43,2.308s,PASSED
"mouseOver(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Downvoted with comment""]))",Chrome 84.0.4147.135,,,2020-08-26 12:12:43,2020-08-26 12:12:46,2.850s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Downvoted with comment""]))",Chrome 84.0.4147.135,,,2020-08-26 12:12:46,2020-08-26 12:12:49,3.165s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/closePopup""))",Chrome 84.0.4147.135,,,2020-08-26 12:12:49,2020-08-26 12:12:51,2.320s,PASSED
,,,,,,,
