Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo_2,Chrome 85.0.4183.83,,,2020-09-01 20:24:28,2020-09-01 20:40:33,16m - 4.758s,INCOMPLETE
,,,,,,,
Test Cases/TASK_SSO/botCreation_Test,Chrome 85.0.4183.83,TestCase Agenda: Verification of task bot creation,,2020-09-01 20:25:13,2020-09-01 20:25:38,25.655s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 85.0.4183.83,,,2020-09-01 20:25:13,2020-09-01 20:25:17,3.243s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 85.0.4183.83,,,2020-09-01 20:25:17,2020-09-01 20:25:20,2.941s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 85.0.4183.83,,,2020-09-01 20:25:20,2020-09-01 20:25:22,2.761s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 85.0.4183.83,,,2020-09-01 20:25:22,2020-09-01 20:25:25,2.246s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 85.0.4183.83,,,2020-09-01 20:25:25,2020-09-01 20:25:27,2.480s,PASSED
"waitForElementVisible(findTestObject(""Generic/modelState""), 60, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-01 20:25:27,2020-09-01 20:25:36,9.014s,PASSED
"verifyElementText(findTestObject(""Generic/modelState""), ""Trained"", STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-01 20:25:36,2020-09-01 20:25:38,2.273s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardPreview_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify if preview is working for task bot,,2020-09-01 20:25:39,2020-09-01 20:26:05,26.379s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 85.0.4183.83,,,2020-09-01 20:25:39,2020-09-01 20:25:44,5.290s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-01 20:25:44,2020-09-01 20:25:49,4.550s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 85.0.4183.83,,,2020-09-01 20:25:49,2020-09-01 20:25:52,3.209s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-01 20:25:52,2020-09-01 20:25:54,2.502s,PASSED
"platform.Preview.startBotCardPreview(""Task bots"", TASK_BOT)",Chrome 85.0.4183.83,,,2020-09-01 20:25:55,2020-09-01 20:26:05,10.377s,ERROR
,,,,,,,
