Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TASK_SSO,Chrome 85.0.4183.83,,,2020-09-09 17:10:25,2020-09-09 17:38:01,27m - 35.567s,INCOMPLETE
,,,,,,,
Test Cases/TASK_SSO/botCreation_Test,Chrome 85.0.4183.83,TestCase Agenda: Verification of task bot creation,,2020-09-09 17:11:22,2020-09-09 17:11:47,24.858s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 85.0.4183.83,,,2020-09-09 17:11:22,2020-09-09 17:11:26,3.961s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 85.0.4183.83,,,2020-09-09 17:11:26,2020-09-09 17:11:29,2.681s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 85.0.4183.83,,,2020-09-09 17:11:29,2020-09-09 17:11:31,2.627s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 85.0.4183.83,,,2020-09-09 17:11:31,2020-09-09 17:11:34,2.419s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 85.0.4183.83,,,2020-09-09 17:11:34,2020-09-09 17:11:36,2.386s,PASSED
"waitForElementVisible(findTestObject(""Generic/modelState""), 60, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:11:36,2020-09-09 17:11:44,8.239s,PASSED
"if (!(verifyElementText(findTestObject(""Generic/modelState""), ""Trained"", OPTIONAL)))",Chrome 85.0.4183.83,,,2020-09-09 17:11:44,2020-09-09 17:11:47,2.355s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardPreview_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify if preview is working for task bot,,2020-09-09 17:11:47,2020-09-09 17:13:11,1m - 24.600s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 85.0.4183.83,,,2020-09-09 17:11:47,2020-09-09 17:11:53,5.386s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:11:53,2020-09-09 17:11:56,3.585s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 85.0.4183.83,,,2020-09-09 17:11:56,2020-09-09 17:12:00,3.450s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:12:00,2020-09-09 17:12:02,2.501s,PASSED
"platform.Preview.startBotCardPreview(""Task bots"", TASK_BOT)",Chrome 85.0.4183.83,,,2020-09-09 17:12:02,2020-09-09 17:12:54,51.636s,PASSED
"waitForElementPresent(findTestObject(""Input/chatInput""), 5, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:12:54,2020-09-09 17:12:56,1.583s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:12:56,2020-09-09 17:12:59,3.623s,PASSED
delay(3),Chrome 85.0.4183.83,,,2020-09-09 17:12:59,2020-09-09 17:13:02,3.227s,PASSED
platform.Preview.verifyBotResponse(stringToCheck),Chrome 85.0.4183.83,,,2020-09-09 17:13:02,2020-09-09 17:13:09,6.578s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 85.0.4183.83,,,2020-09-09 17:13:09,2020-09-09 17:13:11,2.358s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardMenu_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify bot card option for task bot,,2020-09-09 17:13:11,2020-09-09 17:14:02,51.154s,PASSED
"botCardOptions = platform.Method.verifyBotCardMenu(""Task bots"", TASK_BOT)",Chrome 85.0.4183.83,,,2020-09-09 17:13:12,2020-09-09 17:13:29,16.409s,PASSED
"verifyElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Copy Preview Link""]), 5, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:29,2020-09-09 17:13:30,1.422s,PASSED
assert botCardOptions.containsAll(BOT_CARD_OPTION) == true,Chrome 85.0.4183.83,,,2020-09-09 17:13:30,2020-09-09 17:13:30,0.025s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":TASK_BOT]))",Chrome 85.0.4183.83,,,2020-09-09 17:13:30,2020-09-09 17:13:34,3.473s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:34,2020-09-09 17:13:37,2.896s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.83,,,2020-09-09 17:13:37,2020-09-09 17:13:40,2.976s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:40,2020-09-09 17:13:41,1.742s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 85.0.4183.83,,,2020-09-09 17:13:41,2020-09-09 17:13:44,2.495s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Training data""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:44,2020-09-09 17:13:45,1.203s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/response""))",Chrome 85.0.4183.83,,,2020-09-09 17:13:45,2020-09-09 17:13:47,2.452s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Responses""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:47,2020-09-09 17:13:50,2.116s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/curation""))",Chrome 85.0.4183.83,,,2020-09-09 17:13:50,2020-09-09 17:13:53,3.098s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Unresolved issues""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:53,2020-09-09 17:13:54,1.310s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 85.0.4183.83,,,2020-09-09 17:13:54,2020-09-09 17:13:57,3.138s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Conversations""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:13:57,2020-09-09 17:13:59,1.452s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]))",Chrome 85.0.4183.83,,,2020-09-09 17:13:59,2020-09-09 17:14:01,2.506s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:01,2020-09-09 17:14:02,1.405s,PASSED
,,,,,,,
Test Cases/TASK_SSO/sideNavigation_Test,Chrome 85.0.4183.83,TestCase Agenda: To verify if the module on side navigation is accessible to user(Admin),,2020-09-09 17:14:02,2020-09-09 17:14:47,44.976s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":TASK_BOT]))",Chrome 85.0.4183.83,,,2020-09-09 17:14:03,2020-09-09 17:14:05,2.201s,PASSED
"waitForElementVisible(findTestObject(""ICONS/sidebarSettings""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:14:05,2020-09-09 17:14:08,2.375s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:08,2020-09-09 17:14:19,11.569s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.83,,,2020-09-09 17:14:19,2020-09-09 17:14:22,3.053s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:22,2020-09-09 17:14:24,1.499s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 85.0.4183.83,,,2020-09-09 17:14:24,2020-09-09 17:14:27,3.068s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Training data""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:27,2020-09-09 17:14:29,1.643s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/response""))",Chrome 85.0.4183.83,,,2020-09-09 17:14:29,2020-09-09 17:14:32,3.464s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Responses""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:32,2020-09-09 17:14:34,1.793s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/curation""))",Chrome 85.0.4183.83,,,2020-09-09 17:14:34,2020-09-09 17:14:38,4.276s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Unresolved issues""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:38,2020-09-09 17:14:40,1.300s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 85.0.4183.83,,,2020-09-09 17:14:40,2020-09-09 17:14:42,2.806s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Conversations""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:42,2020-09-09 17:14:44,1.510s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]))",Chrome 85.0.4183.83,,,2020-09-09 17:14:44,2020-09-09 17:14:46,2.342s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:14:46,2020-09-09 17:14:47,1.282s,PASSED
,,,,,,,
Test Cases/TASK_SSO/createRichDynamicResponse_Test,Chrome 85.0.4183.83,"TestCase Agenda: To verify creation of rich and dynamic response for the intent

Step 1: Go to response module
Step 2: Create rich & dynamic response template to be used in intent",,2020-09-09 17:14:47,2020-09-09 17:16:59,2m - 11.631s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/response""))",Chrome 85.0.4183.83,,,2020-09-09 17:14:49,2020-09-09 17:14:51,2.482s,PASSED
"testData = findTestData(""Data Files/testData_Task"")",Chrome 85.0.4183.83,,,2020-09-09 17:14:51,2020-09-09 17:14:55,3.886s,PASSED
"platform.Response.createRichResponse(testData.getValue(""rich_template"", 1), testData.getValue(""rich_template_value"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:14:55,2020-09-09 17:15:13,18.189s,PASSED
"platform.Response.createRichResponse(testData.getValue(""rich_template"", 2), testData.getValue(""rich_template_value"", 2))",Chrome 85.0.4183.83,,,2020-09-09 17:15:13,2020-09-09 17:15:31,17.468s,PASSED
"platform.Response.createRichResponse(testData.getValue(""rich_template"", 3), testData.getValue(""rich_template_value"", 3))",Chrome 85.0.4183.83,,,2020-09-09 17:15:31,2020-09-09 17:15:47,16.369s,PASSED
"platform.Response.createRichResponse(testData.getValue(""rich_template"", 5), testData.getValue(""rich_template_value"", 5))",Chrome 85.0.4183.83,,,2020-09-09 17:15:47,2020-09-09 17:16:09,21.530s,PASSED
"platform.Response.createDynamicResponse(testData.getValue(""dynamic_template"", 1), testData.getValue(""dynamic_template_file"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:16:09,2020-09-09 17:16:30,21.236s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Welcome message ""]), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:16:30,2020-09-09 17:16:31,1.191s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Welcome message ""]))",Chrome 85.0.4183.83,,,2020-09-09 17:16:31,2020-09-09 17:16:34,2.745s,PASSED
"platform.Response.createDynamicResponse(testData.getValue(""dynamic_template"", 2), testData.getValue(""dynamic_template_file"", 2))",Chrome 85.0.4183.83,,,2020-09-09 17:16:34,2020-09-09 17:16:56,22.600s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:16:56,2020-09-09 17:16:59,2.813s,PASSED
,,,,,,,
Test Cases/TASK_SSO/entitiesCreationAndUpdate_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify custom entity creation process,,2020-09-09 17:16:59,2020-09-09 17:19:09,2m - 9.600s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 85.0.4183.83,,,2020-09-09 17:17:00,2020-09-09 17:17:03,2.441s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Entities""]))",Chrome 85.0.4183.83,,,2020-09-09 17:17:03,2020-09-09 17:17:05,2.348s,PASSED
"testData = findTestData(""Data Files/testData_Task"")",Chrome 85.0.4183.83,,,2020-09-09 17:17:05,2020-09-09 17:17:06,0.233s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createEntity""))",Chrome 85.0.4183.83,,,2020-09-09 17:17:06,2020-09-09 17:17:08,2.430s,PASSED
"platform.Training.createEntity(""city name"", "" Custom list "", ""mumbai"")",Chrome 85.0.4183.83,,,2020-09-09 17:17:08,2020-09-09 17:17:22,14.468s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createEntity""))",Chrome 85.0.4183.83,,,2020-09-09 17:17:22,2020-09-09 17:17:25,2.544s,PASSED
"platform.Training.createEntity(""date"", "" Date "", null)",Chrome 85.0.4183.83,,,2020-09-09 17:17:25,2020-09-09 17:17:35,10.249s,PASSED
"for ([count = 2, count <= testData.getRowNumbers(), (count++)])",Chrome 85.0.4183.83,,,2020-09-09 17:17:35,2020-09-09 17:18:23,48.089s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""city name""]), 15, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:18:23,2020-09-09 17:18:25,1.909s,PASSED
"platform.Training.editEntity(""city name"")",Chrome 85.0.4183.83,,,2020-09-09 17:18:25,2020-09-09 17:18:35,9.589s,PASSED
"testObject = modifyObjectProperty(findTestObject(""Input/entityName""), ""formcontrolname"", ""equals"", ""name"", true, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:18:35,2020-09-09 17:18:35,0.251s,PASSED
"setText(testObject, testData.getValue(""entity_name"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:18:35,2020-09-09 17:18:39,3.842s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/importIcon""))",Chrome 85.0.4183.83,,,2020-09-09 17:18:39,2020-09-09 17:18:42,2.783s,PASSED
"platform.Method.uploadCsvFile(true, testData.getValue(""custom_entity_file"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:18:42,2020-09-09 17:18:50,8.327s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/save"", [""value"":"" Save ""]))",Chrome 85.0.4183.83,,,2020-09-09 17:18:50,2020-09-09 17:18:53,2.555s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 15, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:18:53,2020-09-09 17:18:54,1.344s,PASSED
"assert getText().contentEquals(""store_name"") == true",Chrome 85.0.4183.83,,,2020-09-09 17:18:54,2020-09-09 17:18:56,2.243s,PASSED
"platform.Method.trainAndComment(testData.getValue(""comment"", 2))",Chrome 85.0.4183.83,,,2020-09-09 17:18:56,2020-09-09 17:19:07,10.873s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 15, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:19:07,2020-09-09 17:19:09,1.712s,PASSED
,,,,,,,
Test Cases/TASK_SSO/createIntentAndEditEntity_Test,Chrome 85.0.4183.83,"TestCase Agenda: Verify if entity gets recognised when user adds an utterance

Step 1: Create an intent with entity in utterance
Step 2: Verify entity in the slot",,2020-09-09 17:19:09,2020-09-09 17:20:36,1m - 26.802s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Intents""]))",Chrome 85.0.4183.83,,,2020-09-09 17:19:09,2020-09-09 17:19:13,3.365s,PASSED
"testData = findTestData(""Data Files/testData_Task"")",Chrome 85.0.4183.83,,,2020-09-09 17:19:13,2020-09-09 17:19:13,0.708s,PASSED
"platform.Training.addMultipleUtterance(testData, ""track_order_utterance"")",Chrome 85.0.4183.83,,,2020-09-09 17:19:13,2020-09-09 17:19:47,33.191s,PASSED
"sendKeys(findTestObject(""Input/intentName""), testData.getValue(""intent_name"", 3))",Chrome 85.0.4183.83,,,2020-09-09 17:19:47,2020-09-09 17:19:50,3.125s,PASSED
"verifyElementText(findTestObject(""Slots/entityValue"", [""rowValue"":1]), ""order_id"", STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:19:50,2020-09-09 17:19:52,2.381s,PASSED
"sendKeys(findTestObject(""Input/finalTempKey""), ""order_status_template"")",Chrome 85.0.4183.83,,,2020-09-09 17:19:52,2020-09-09 17:19:55,3.389s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/save"", [""value"":"" Save ""]))",Chrome 85.0.4183.83,,,2020-09-09 17:19:55,2020-09-09 17:19:58,2.400s,PASSED
"verifyElementText(findTestObject(""Generic/header""), ""track_order"", STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-09 17:19:58,2020-09-09 17:20:00,2.368s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/intentGoBack""))",Chrome 85.0.4183.83,,,2020-09-09 17:20:00,2020-09-09 17:20:03,2.640s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Entities""]))",Chrome 85.0.4183.83,,,2020-09-09 17:20:03,2020-09-09 17:20:05,2.488s,PASSED
"platform.Training.editEntity(""product_names"")",Chrome 85.0.4183.83,,,2020-09-09 17:20:05,2020-09-09 17:20:14,8.433s,PASSED
"sendKeys(findTestObject(""Input/synonyms"", [""index"":1]), Keys.chord(""wooden chair"", ENTER))",Chrome 85.0.4183.83,,,2020-09-09 17:20:14,2020-09-09 17:20:17,2.871s,PASSED
"sendKeys(findTestObject(""Input/synonyms"", [""index"":1]), Keys.chord(""plastic chair"", ENTER))",Chrome 85.0.4183.83,,,2020-09-09 17:20:17,2020-09-09 17:20:19,2.538s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/importIcon""))",Chrome 85.0.4183.83,,,2020-09-09 17:20:19,2020-09-09 17:20:22,2.440s,PASSED
"platform.Method.uploadCsvFile(false, testData.getValue(""custom_entity_file"", 2))",Chrome 85.0.4183.83,,,2020-09-09 17:20:22,2020-09-09 17:20:26,4.828s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/btnDeleteChipOrRow"", [""chipValue"":"" plastic chair "", ""option"":""cancel""]))",Chrome 85.0.4183.83,,,2020-09-09 17:20:26,2020-09-09 17:20:29,2.554s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/btnDeleteChipOrRow"", [""chipValue"":"" wooden chair "", ""option"":""close ""]))",Chrome 85.0.4183.83,,,2020-09-09 17:20:29,2020-09-09 17:20:31,2.350s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/save"", [""value"":"" Save ""]))",Chrome 85.0.4183.83,,,2020-09-09 17:20:31,2020-09-09 17:20:34,2.939s,PASSED
"waitForElementPresent(findTestObject(""ICONS/toastMsg""), 20, OPTIONAL)",Chrome 85.0.4183.83,,,2020-09-09 17:20:34,2020-09-09 17:20:36,1.230s,PASSED
,,,,,,,
Test Cases/TASK_SSO/intentWithResponseCreation_Test,Chrome 85.0.4183.83,"TestCase Agenda: Verify if user can create an intent along with response from intent page

Step 1: Create an intent
Step 2: Response creation from intent page
Step 3: Verify created response on Response module",,2020-09-09 17:20:36,2020-09-09 17:22:34,1m - 58.855s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Intents""]))",Chrome 85.0.4183.83,,,2020-09-09 17:20:37,2020-09-09 17:20:39,2.353s,PASSED
"platform.Training.addMultipleUtterance(findTestData(""Data Files/testData_Task""), ""first_intent_utterance"")",Chrome 85.0.4183.83,,,2020-09-09 17:20:39,2020-09-09 17:21:14,35.173s,PASSED
"sendKeys(findTestObject(""Input/intentName""), findTestData(""Data Files/testData_Task"").getValue(""intent_name"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:21:14,2020-09-09 17:21:17,3.340s,PASSED
"check(findTestObject(""Slots/checkbox"", [""rowValue"":1]))",Chrome 85.0.4183.83,,,2020-09-09 17:21:17,2020-09-09 17:21:22,4.395s,PASSED
"setText(findTestObject(""Slots/retries"", [""rowValue"":1]), ""2"")",Chrome 85.0.4183.83,,,2020-09-09 17:21:22,2020-09-09 17:21:25,3.644s,PASSED
"setText(findTestObject(""Slots/templateKey"", [""rowValue"":1]), findTestData(""Data Files/testData_Task"").getValue(""missing_entity"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:21:25,2020-09-09 17:21:30,4.497s,PASSED
"platform.Training.createInstantResponse(findTestData(""Data Files/testData_Task"").getValue(""missing_entity"", 1), findTestData(""Data Files/testData_Task"").getValue(""missing_entity_default_text"", 1))",Chrome 85.0.4183.83,,,2020-09-09 17:21:30,2020-09-09 17:21:43,12.891s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""city_not_found""]))",Chrome 85.0.4183.83,,,2020-09-09 17:21:43,2020-09-09 17:21:45,2.584s,PASSED
