Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
generic,Chrome 85.0.4183.121,,,2020-09-28 15:18:02,2020-09-28 15:20:40,2m - 38.253s,INCOMPLETE
,,,,,,,
Test Cases/Generic/botPageAndHeaderAccess_Test,Chrome 85.0.4183.121,TestCase Agenda: To verify if navigation to header options is possible and  navigation back to home page,,2020-09-28 15:19:47,2020-09-28 15:19:55,8.288s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Dashboard""]))",Chrome 85.0.4183.121,,,2020-09-28 15:19:49,2020-09-28 15:19:55,6.772s,ERROR
,,,,,,,
Test Cases/Generic/adminServiceKeyFunctionality_Test,Chrome 85.0.4183.121,TestCase Agenda: To verify overview page service key functionality for user of type 'Admin',,2020-09-28 15:19:56,2020-09-28 15:20:14,17.961s,FAILED
"mouseOver(findTestObject(""Generic/userInitials""))",Chrome 85.0.4183.121,,,2020-09-28 15:19:57,2020-09-28 15:20:14,16.504s,FAILED
,,,,,,,
Test Cases/Generic/adminUserManagement_Test,Chrome 85.0.4183.121,TestCase Agenda: Verify custom user creation by an 'Admin',,2020-09-28 15:20:14,2020-09-28 15:20:21,7.565s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Users""]))",Chrome 85.0.4183.121,,,2020-09-28 15:20:15,2020-09-28 15:20:21,6.398s,ERROR
,,,,,,,
Test Cases/Generic/adminRoleManagement_Test,Chrome 85.0.4183.121,TestCase Agenda: To verify role creation by Admin user,,2020-09-28 15:20:22,2020-09-28 15:20:30,8.095s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Roles""]))",Chrome 85.0.4183.121,,,2020-09-28 15:20:23,2020-09-28 15:20:30,7.195s,ERROR
,,,,,,,
Test Cases/Generic/adminRoleDeletion_Test,Chrome 85.0.4183.121,TestCase Agenda: To verify if user with role of 'Admin' can delete a custom created role,,2020-09-28 15:20:30,2020-09-28 15:20:40,10.317s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Roles""]))",Chrome 85.0.4183.121,,,2020-09-28 15:20:33,2020-09-28 15:20:40,7.029s,ERROR
