Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ROUTER_SSO,Chrome 85.0.4183.121,,,2020-10-01 12:39:49,2020-10-01 12:48:32,8m - 43.039s,INCOMPLETE
,,,,,,,
Test Cases/Routerbot/botCreation_Test,Chrome 85.0.4183.121,"TestCase Agenda: Verify if a user(Admin) can successfully create a router bot

Step 1: Navigate to bot type
Step 2: Click on create bot button and fill in details
Step 3: Click on done button to complete creation process",,2020-10-01 12:40:53,2020-10-01 12:41:56,1m - 2.877s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Router bots""]))",Chrome 85.0.4183.121,,,2020-10-01 12:40:54,2020-10-01 12:40:58,4.227s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 85.0.4183.121,,,2020-10-01 12:40:58,2020-10-01 12:41:01,2.920s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 85.0.4183.121,,,2020-10-01 12:41:01,2020-10-01 12:41:04,3.159s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 85.0.4183.121,,,2020-10-01 12:41:04,2020-10-01 12:41:07,2.596s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/labelForChildBot""))",Chrome 85.0.4183.121,,,2020-10-01 12:41:07,2020-10-01 12:41:10,2.771s,PASSED
"index = platform.Method.getIndexFromTheList(findTestObject(""NewRepo/listOfChildBots""), childBotName)",Chrome 85.0.4183.121,,,2020-10-01 12:41:10,2020-10-01 12:41:17,7.684s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/childBotCheckbox"", [""index"":index]))",Chrome 85.0.4183.121,,,2020-10-01 12:41:17,2020-10-01 12:41:20,2.520s,PASSED
"newIndex = platform.Method.getIndexFromTheList(findTestObject(""NewRepo/listOfChildBots""), childBotName2)",Chrome 85.0.4183.121,,,2020-10-01 12:41:20,2020-10-01 12:41:46,26.465s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/childBotCheckbox"", [""index"":newIndex]))",Chrome 85.0.4183.121,,,2020-10-01 12:41:46,2020-10-01 12:41:49,2.768s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 85.0.4183.121,,,2020-10-01 12:41:49,2020-10-01 12:41:52,2.473s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 85.0.4183.121,,,2020-10-01 12:41:52,2020-10-01 12:41:54,2.413s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 85.0.4183.121,,,2020-10-01 12:41:54,2020-10-01 12:41:56,2.345s,PASSED
,,,,,,,
Test Cases/Routerbot/sideOptionsNavigation_Test,Chrome 85.0.4183.121,TestCase Agenda: Verify if all side bar navigation is possible,,2020-10-01 12:41:56,2020-10-01 12:42:39,42.796s,PASSED
"waitForElementVisible(findTestObject(""ICONS/sidebarSettings""), 20, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 12:41:59,2020-10-01 12:42:06,6.874s,PASSED
"platform.Method.clickOnElement(findTestObject(""ICONS/sidebarSettings""))",Chrome 85.0.4183.121,,,2020-10-01 12:42:06,2020-10-01 12:42:08,2.122s,PASSED
"verifyTextPresent(""Bot configuration"", false, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 12:42:08,2020-10-01 12:42:13,4.757s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.121,,,2020-10-01 12:42:13,2020-10-01 12:42:16,3.272s,PASSED
delay(1),Chrome 85.0.4183.121,,,2020-10-01 12:42:16,2020-10-01 12:42:17,1.044s,PASSED
"verifyTextPresent(""Input recognition"", false, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 12:42:17,2020-10-01 12:42:22,4.694s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",Chrome 85.0.4183.121,,,2020-10-01 12:42:22,2020-10-01 12:42:25,2.978s,PASSED
delay(1),Chrome 85.0.4183.121,,,2020-10-01 12:42:25,2020-10-01 12:42:26,1.008s,PASSED
"verifyTextPresent(""Logic"", false, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 12:42:26,2020-10-01 12:42:30,4.349s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 85.0.4183.121,,,2020-10-01 12:42:30,2020-10-01 12:42:35,4.074s,PASSED
delay(1),Chrome 85.0.4183.121,,,2020-10-01 12:42:35,2020-10-01 12:42:36,1.008s,PASSED
"verifyTextPresent(""Conversations"", false, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 12:42:36,2020-10-01 12:42:39,3.575s,PASSED
,,,,,,,
Test Cases/Routerbot/nlpConceptCreation_Test,Chrome 85.0.4183.121,TestCase Agenda: To add module and create concept on a router bot,,2020-10-01 12:42:39,2020-10-01 12:43:55,1m - 15.935s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.121,,,2020-10-01 12:42:44,2020-10-01 12:42:48,3.776s,PASSED
platform.NLP.addCustom_NER(),Chrome 85.0.4183.121,,,2020-10-01 12:42:48,2020-10-01 12:43:03,15.607s,PASSED
"platform.NLP.createConcept(conceptName, fileName)",Chrome 85.0.4183.121,,,2020-10-01 12:43:03,2020-10-01 12:43:24,21.177s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/conceptBackBtn""))",Chrome 85.0.4183.121,,,2020-10-01 12:43:24,2020-10-01 12:43:27,2.601s,PASSED
"verifyTextPresent(conceptName, false, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 12:43:27,2020-10-01 12:43:32,4.910s,PASSED
