Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FAQ_SSO,Chrome 85.0.4183.121,,,2020-10-01 16:03:04,2020-10-01 16:39:22,36m - 17.980s,INCOMPLETE
,,,,,,,
Test Cases/FAQ_SSO/botCreation_Test,Chrome 85.0.4183.121,TestCase Agenda: To test faq bot creation,,2020-10-01 16:04:05,2020-10-01 16:04:33,28.502s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 85.0.4183.121,,,2020-10-01 16:04:07,2020-10-01 16:04:11,4.037s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 85.0.4183.121,,,2020-10-01 16:04:11,2020-10-01 16:04:14,3.087s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 85.0.4183.121,,,2020-10-01 16:04:14,2020-10-01 16:04:16,2.420s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 85.0.4183.121,,,2020-10-01 16:04:16,2020-10-01 16:04:19,2.653s,PASSED
"waitForElementVisible(findTestObject(""Generic/articleState""), 60, OPTIONAL)",Chrome 85.0.4183.121,,,2020-10-01 16:04:19,2020-10-01 16:04:28,9.069s,PASSED
"if (!(verifyElementText(findTestObject(""Generic/articleState""), ""Trained"", OPTIONAL)))",Chrome 85.0.4183.121,,,2020-10-01 16:04:28,2020-10-01 16:04:30,2.530s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 85.0.4183.121,,,2020-10-01 16:04:30,2020-10-01 16:04:33,2.898s,PASSED
,,,,,,,
Test Cases/FAQ_SSO/botSideOptionsNavigation_Test,Chrome 85.0.4183.121,TestCase Agenda: To navigate module within a FAQ bot,,2020-10-01 16:04:33,2020-10-01 16:05:24,50.243s,PASSED
"platform.Method.clickOnElement(findTestObject(""ICONS/sidebarSettings""))",Chrome 85.0.4183.121,,,2020-10-01 16:04:34,2020-10-01 16:04:37,3.085s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 16:04:37,2020-10-01 16:04:38,1.166s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Management""]))",Chrome 85.0.4183.121,,,2020-10-01 16:04:38,2020-10-01 16:04:42,3.380s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot status""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 16:04:42,2020-10-01 16:04:43,1.406s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Security""]))",Chrome 85.0.4183.121,,,2020-10-01 16:04:43,2020-10-01 16:04:46,2.587s,PASSED
"verifyElementPresent(findTestObject(""NewRepo/inputConsentDisclaimer""), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 16:04:46,2020-10-01 16:04:47,1.221s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Handover and Inference""]))",Chrome 85.0.4183.121,,,2020-10-01 16:04:47,2020-10-01 16:04:50,2.798s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Inference""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 16:04:50,2020-10-01 16:04:51,1.254s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Integrations""]))",Chrome 85.0.4183.121,,,2020-10-01 16:04:51,2020-10-01 16:04:54,2.587s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Chat Agent Platforms""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.121,,,2020-10-01 16:04:54,2020-10-01 16:04:56,1.801s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.121,,,2020-10-01 16:04:56,2020-10-01 16:04:58,2.690s,PASSED
