Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GENERIC1,Chrome 87.0.4280.141,,,2021-01-21 18:25:30,2021-01-21 18:30:12,4m - 42.091s,INCOMPLETE
,,,,,,,
Test Cases/Generic/botPageAndHeaderAccess_Test,Chrome 87.0.4280.141,TestCase Agenda: To verify if navigation to header options is possible and  navigation back to home page,,2021-01-21 18:26:24,2021-01-21 18:27:45,1m - 20.987s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Dashboard""]))",Chrome 87.0.4280.141,,,2021-01-21 18:26:25,2021-01-21 18:26:27,2.256s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 87.0.4280.141,,,2021-01-21 18:26:27,2021-01-21 18:26:29,2.387s,PASSED
"verifyElementPresent(findTestObject(""Button/createBot""), 15, STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:26:29,2021-01-21 18:26:31,1.372s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Knowledge""]))",Chrome 87.0.4280.141,,,2021-01-21 18:26:31,2021-01-21 18:26:34,2.833s,PASSED
"verifyElementText(findTestObject(""Generic/kbHeader""), ""Enterprise Knowledge Base"", OPTIONAL)",Chrome 87.0.4280.141,,,2021-01-21 18:26:34,2021-01-21 18:26:36,2.423s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 87.0.4280.141,,,2021-01-21 18:26:36,2021-01-21 18:26:39,2.592s,PASSED
"verifyElementPresent(findTestObject(""Button/createBot""), 15, STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:26:39,2021-01-21 18:26:51,12.166s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Analytics""]))",Chrome 87.0.4280.141,,,2021-01-21 18:26:51,2021-01-21 18:26:53,2.391s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 87.0.4280.141,,,2021-01-21 18:26:53,2021-01-21 18:26:57,3.317s,PASSED
"verifyElementPresent(findTestObject(""Button/createBot""), 15, STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:26:57,2021-01-21 18:27:08,11.715s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Reports""]))",Chrome 87.0.4280.141,,,2021-01-21 18:27:08,2021-01-21 18:27:11,2.858s,PASSED
"verifyElementClickable(findTestObject(""Button/newReport""), STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:27:11,2021-01-21 18:27:14,2.525s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 87.0.4280.141,,,2021-01-21 18:27:14,2021-01-21 18:27:16,2.286s,PASSED
"verifyElementPresent(findTestObject(""Button/createBot""), 15, STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:27:16,2021-01-21 18:27:26,10.240s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 87.0.4280.141,,,2021-01-21 18:27:26,2021-01-21 18:27:30,3.811s,PASSED
"comment(""Verification of Task bots"")",Chrome 87.0.4280.141,,,2021-01-21 18:27:30,2021-01-21 18:27:30,0.129s,PASSED
"verifyElementPresent(findTestObject(""Button/createBot""), 20, STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:27:30,2021-01-21 18:27:32,1.472s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Smart bots""]))",Chrome 87.0.4280.141,,,2021-01-21 18:27:32,2021-01-21 18:27:36,4.118s,PASSED
"comment(""Verification of Smart bots"")",Chrome 87.0.4280.141,,,2021-01-21 18:27:36,2021-01-21 18:27:36,0.013s,PASSED
"verifyElementPresent(findTestObject(""Button/createBot""), 20, STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-21 18:27:36,2021-01-21 18:27:37,1.415s,PASSED
