Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMART_SSO,Chrome 88.0.4324.150,,,2021-02-17 11:46:46,2021-02-17 11:57:14,10m - 28.071s,INCOMPLETE
,,,,,,,
Test Cases/Smartbot/botCreation_Test,Chrome 88.0.4324.150,TestCase Agenda: Verify successful creation of smart bot,,2021-02-17 11:47:53,2021-02-17 11:48:26,33.855s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Smart bots""]))",Chrome 88.0.4324.150,,,2021-02-17 11:47:53,2021-02-17 11:48:00,7.039s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 88.0.4324.150,,,2021-02-17 11:48:00,2021-02-17 11:48:04,4.155s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 88.0.4324.150,,,2021-02-17 11:48:04,2021-02-17 11:48:07,2.814s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 88.0.4324.150,,,2021-02-17 11:48:07,2021-02-17 11:48:09,2.264s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 88.0.4324.150,,,2021-02-17 11:48:09,2021-02-17 11:48:12,2.603s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 88.0.4324.150,,,2021-02-17 11:48:12,2021-02-17 11:48:14,2.486s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 88.0.4324.150,,,2021-02-17 11:48:14,2021-02-17 11:48:17,2.509s,PASSED
"waitForElementPresent(findTestObject(""Button/updateBot""), 30, OPTIONAL)",Chrome 88.0.4324.150,,,2021-02-17 11:48:17,2021-02-17 11:48:26,9.557s,PASSED
,,,,,,,
Test Cases/Smartbot/nlpConceptCreation_Test,Chrome 88.0.4324.150,TestCase Agenda: Verify if user create concept and add module to smart bot,,2021-02-17 11:48:26,2021-02-17 11:49:28,1m - 1.279s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 88.0.4324.150,,,2021-02-17 11:48:50,2021-02-17 11:48:53,3.494s,PASSED
"testData = findTestData(""testData_Smart"")",Chrome 88.0.4324.150,,,2021-02-17 11:48:53,2021-02-17 11:48:54,0.560s,PASSED
platform.NLP.addCustom_NER(),Chrome 88.0.4324.150,,,2021-02-17 11:48:54,2021-02-17 11:49:06,11.964s,PASSED
"platform.NLP.createConceptType(""Double Match"", false, testData.getValue(""concept_name"", 1), testData.getValue(""file_name"", 1))",Chrome 88.0.4324.150,,,2021-02-17 11:49:06,2021-02-17 11:49:21,15.529s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/conceptBackBtn""))",Chrome 88.0.4324.150,,,2021-02-17 11:49:21,2021-02-17 11:49:24,2.639s,PASSED
"verifyTextPresent(""city"", false, STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-17 11:49:24,2021-02-17 11:49:28,3.669s,PASSED
,,,,,,,
Test Cases/Smartbot/setUpLogicAndBotPreviewTest,Chrome 88.0.4324.150,TestCase Agenda: Verify if bot responsed correctly on weather information post logic set up,,2021-02-17 11:49:28,2021-02-17 11:50:54,1m - 26.712s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",Chrome 88.0.4324.150,,,2021-02-17 11:49:29,2021-02-17 11:49:31,2.578s,PASSED
"PATH = getProjectDir() + ""/Collection/""",Chrome 88.0.4324.150,,,2021-02-17 11:49:31,2021-02-17 11:49:31,0.004s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Generation Template""]))",Chrome 88.0.4324.150,,,2021-02-17 11:49:31,2021-02-17 11:49:35,3.301s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/code""))",Chrome 88.0.4324.150,,,2021-02-17 11:49:35,2021-02-17 11:49:38,3.075s,PASSED
"waitForElementPresent(findTestObject(""NewRepo/editCodeBtn""), 20, STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-17 11:49:38,2021-02-17 11:49:39,1.301s,PASSED
"platform.Method.clickOnElement(findTestObject(""NewRepo/editCodeBtn""))",Chrome 88.0.4324.150,,,2021-02-17 11:49:39,2021-02-17 11:49:41,2.424s,PASSED
"platform.Method.clickOnElement(findTestObject(""WEB_OBJECTS/confirm""))",Chrome 88.0.4324.150,,,2021-02-17 11:49:41,2021-02-17 11:49:44,2.478s,PASSED
"waitForElementClickable(findTestObject(""Button/save"", [""value"":""Save""]), 15, OPTIONAL)",Chrome 88.0.4324.150,,,2021-02-17 11:49:44,2021-02-17 11:50:00,15.853s,PASSED
"for ([count = 1, count <= findTestData(""testData_Smart"").getRowNumbers(), (count++)])",Chrome 88.0.4324.150,,,2021-02-17 11:50:00,2021-02-17 11:50:36,36.400s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 88.0.4324.150,,,2021-02-17 11:50:36,2021-02-17 11:50:39,3.049s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER), STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-17 11:50:39,2021-02-17 11:50:42,2.939s,PASSED
delay(1),Chrome 88.0.4324.150,,,2021-02-17 11:50:42,2021-02-17 11:50:43,1.045s,PASSED
platform.Preview.verifyBotResponse(now().toString()),Chrome 88.0.4324.150,,,2021-02-17 11:50:43,2021-02-17 11:50:50,6.547s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/upvote""))",Chrome 88.0.4324.150,,,2021-02-17 11:50:50,2021-02-17 11:50:52,2.323s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 88.0.4324.150,,,2021-02-17 11:50:52,2021-02-17 11:50:54,2.360s,PASSED
,,,,,,,
Test Cases/Smartbot/maskingConcept_Test,Chrome 88.0.4324.150,,,2021-02-17 11:50:55,2021-02-17 11:53:33,2m - 38.385s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 88.0.4324.150,,,2021-02-17 11:50:56,2021-02-17 11:50:59,3.478s,PASSED
"PATH = getProjectDir() + ""/Collection/""",Chrome 88.0.4324.150,,,2021-02-17 11:50:59,2021-02-17 11:50:59,0.002s,PASSED
"testData = findTestData(""testData_Smart"")",Chrome 88.0.4324.150,,,2021-02-17 11:50:59,2021-02-17 11:51:00,0.241s,PASSED
